Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity,Ring_Width_μm,Dark_Edge_Diameter_μm,Dark_Ratio
236,356.00,10.00,35.75,169.48,920.14,0.904,6.08,47.10,0.572
237,492.00,26.00,49.14,156.95,1736.11,0.872,5.87,60.56,0.556
238,369.00,412.00,37.71,168.46,1015.62,0.891,5.85,49.17,0.545
239,382.00,380.00,40.99,161.17,1197.92,0.894,5.98,52.25,0.579
240,359.00,372.00,44.69,162.34,1427.95,0.887,5.37,55.40,0.529
241,491.00,341.00,44.31,161.66,1406.25,0.904,5.57,55.31,0.538
242,387.00,443.00,39.26,166.23,1074.22,0.873,5.36,49.95,0.540
243,406.00,433.00,35.78,167.18,885.42,0.897,5.75,46.73,0.546
244,486.00,364.00,36.97,171.74,959.20,0.903,5.62,48.21,0.535
245,444.00,357.00,44.51,163.99,1404.08,0.887,5.97,56.14,0.545
246,492.00,70.00,40.70,169.22,1161.02,0.883,6.06,52.20,0.550
247,370.00,337.00,37.59,168.84,1006.94,0.920,5.87,48.65,0.524
248,461.00,401.00,47.29,157.95,1623.26,0.908,5.80,58.55,0.538
249,314.00,353.00,42.18,163.28,1289.06,0.903,5.82,53.51,0.572
250,476.00,422.00,44.66,164.34,1417.10,0.895,5.53,55.30,0.557
251,349.00,446.00,36.98,168.30,963.54,0.907,5.95,47.96,0.544
252,393.00,336.00,41.22,164.96,1232.64,0.896,5.65,52.10,0.561
253,450.00,332.00,45.53,160.78,1506.08,0.891,5.89,56.83,0.585
254,327.00,122.00,52.16,154.14,1972.66,0.881,6.31,63.77,0.541
255,345.00,302.00,38.95,164.80,1052.52,0.879,5.76,50.43,0.555
256,430.00,201.00,38.46,163.84,1030.82,0.923,5.76,49.73,0.510
257,439.00,68.00,34.01,176.64,800.78,0.884,5.79,45.17,0.557
258,328.00,58.00,46.90,154.05,1597.22,0.894,5.76,58.43,0.497
259,457.00,59.00,33.73,174.49,794.27,0.897,6.10,45.14,0.547
260,404.00,262.00,36.77,172.70,954.86,0.926,5.80,48.17,0.540
261,465.00,261.00,36.49,169.79,939.67,0.904,5.66,47.64,0.563
262,476.00,288.00,34.20,173.43,813.80,0.898,5.45,45.10,0.541
263,469.00,240.00,32.65,178.53,735.68,0.910,6.15,44.35,0.574
264,459.00,193.00,34.30,168.32,822.48,0.908,5.86,45.92,0.573
265,450.00,249.00,30.33,174.34,677.08,0.902,5.67,41.67,0.553
266,369.00,245.00,31.25,175.20,657.55,0.885,6.18,42.95,0.541
267,440.00,48.00,32.94,178.79,759.55,0.887,5.82,44.59,0.544
268,398.00,240.00,34.69,172.88,852.86,0.883,5.52,45.71,0.548
269,385.00,91.00,44.04,160.24,1384.55,0.890,5.84,55.20,0.509
270,446.00,309.00,34.49,174.97,833.33,0.941,5.94,45.74,0.559
271,358.00,203.00,45.79,156.26,1456.16,0.898,5.83,55.66,0.571
272,384.00,28.00,30.76,180.36,642.36,0.855,5.65,41.40,0.545
273,365.00,106.00,41.29,164.19,1215.28,0.907,6.16,52.42,0.574
274,487.00,252.00,44.47,160.85,1371.53,0.860,5.53,54.43,0.590
275,403.00,41.00,34.93,174.08,868.06,0.880,5.80,46.26,0.565
276,425.00,297.00,52.34,152.96,1968.32,0.905,5.74,63.77,0.541
277,413.00,103.00,69.10,143.84,3511.28,0.889,5.94,80.04,0.526
278,363.00,84.00,35.76,170.14,891.93,0.858,6.00,47.28,0.549
279,476.00,90.00,43.40,164.89,1365.02,0.893,5.86,54.71,0.560
280,410.00,208.00,35.46,168.25,876.74,0.888,5.72,46.59,0.568
281,333.00,98.00,36.66,168.27,937.50,0.883,5.72,47.94,0.543
282,259.00,98.00,37.40,170.66,996.09,0.892,6.09,48.95,0.538
283,455.00,34.00,37.27,172.79,963.54,0.907,5.94,48.38,0.563
284,437.00,89.00,36.43,170.74,933.16,0.879,6.01,47.65,0.570
285,367.00,130.00,43.45,163.57,1332.47,0.900,5.50,52.65,0.544
286,402.00,166.00,47.77,156.05,1636.28,0.895,5.90,58.55,0.564
287,456.00,79.00,35.05,175.20,872.40,0.912,5.88,46.44,0.561
288,331.00,178.00,35.29,166.94,894.10,0.906,6.20,46.49,0.596
289,386.00,114.00,36.67,171.22,950.52,0.922,5.87,47.55,0.544
290,41.00,235.00,39.86,155.36,1124.13,0.896,5.36,48.76,0.535
291,233.00,13.00,29.83,172.49,611.98,0.924,5.37,39.32,0.518
292,99.00,314.00,30.11,169.34,622.83,0.915,5.71,40.53,0.561
293,80.00,216.00,29.87,174.83,609.81,0.864,5.53,40.93,0.527
294,19.00,187.00,35.02,162.55,852.86,0.912,6.20,45.77,0.545
295,265.00,54.00,29.19,173.56,579.43,0.898,6.11,40.01,0.570
296,300.00,155.00,23.82,179.75,386.28,0.915,5.71,34.71,0.541
297,27.00,212.00,34.34,155.37,822.48,0.879,5.27,42.95,0.500
298,162.00,82.00,24.41,183.59,401.48,0.878,5.26,34.93,0.550
299,144.00,257.00,34.92,162.43,870.23,0.901,6.19,45.13,0.528
300,34.00,80.00,27.16,172.76,507.81,0.876,5.79,38.75,0.554
301,267.00,198.00,37.09,165.10,957.03,0.882,5.67,46.27,0.505
