Center_X_px,Center_Y_px,Diameter_μm,slide
137.0,205.0,27.13,z_15
412.0,378.0,26.79,z_15
381.0,300.0,26.66,z_15
365.0,352.0,26.61,z_14
499.0,468.0,26.54,z_15
467.0,500.0,26.44,z_3
69.0,174.0,26.1,z_15
326.0,341.0,26.09,z_15
96.0,465.0,25.99,z_15
110.0,211.0,25.86,z_14
467.0,137.0,25.86,z_11
142.0,172.0,25.82,z_15
252.0,409.0,25.77,z_1
27.0,251.0,25.69,z_15
445.0,149.0,25.69,z_15
442.0,373.0,25.68,z_14
278.0,392.0,25.57,z_15
136.0,431.0,25.49,z_15
142.0,298.0,25.47,z_0
459.0,418.0,25.43,z_10
130.0,248.0,25.35,z_15
53.0,71.0,25.35,z_15
346.0,394.0,25.35,z_15
35.0,100.0,25.17,z_15
443.0,405.0,25.17,z_15
152.0,403.0,25.17,z_14
64.0,191.0,25.13,z_15
134.0,163.0,25.1,z_15
461.0,487.0,24.82,z_14
491.0,312.0,24.78,z_14
142.0,495.0,24.49,z_15
323.0,385.0,24.49,z_14
173.0,392.0,24.33,z_15
206.0,48.0,24.3,z_15
379.0,268.0,24.3,z_15
464.0,476.0,24.27,z_15
331.0,294.0,24.0,z_15
407.0,303.0,23.94,z_15
483.0,468.0,23.87,z_15
497.0,376.0,23.75,z_15
458.0,175.0,23.75,z_15
119.0,289.0,23.49,z_15
502.0,242.0,23.32,z_15
98.0,291.0,23.29,z_15
225.0,478.0,23.29,z_15
427.0,148.0,23.29,z_10
396.0,408.0,23.03,z_15
212.0,334.0,22.93,z_15
386.0,411.0,22.54,z_14
471.0,187.0,22.54,z_14
34.0,111.0,22.44,z_15
23.0,115.0,22.44,z_15
51.0,13.0,22.42,z_15
269.0,274.0,22.37,z_15
431.0,264.0,21.96,z_15
164.0,318.0,21.87,z_15
475.0,439.0,21.45,z_0
76.0,274.0,21.45,z_2
204.0,481.0,21.07,z_0
162.0,359.0,20.55,z_14
402.0,126.0,20.52,z_15
178.0,382.0,20.52,z_13
400.0,419.0,20.47,z_15
503.0,441.0,20.25,z_15
81.0,24.0,19.98,z_15
464.0,288.0,19.81,z_1
197.0,380.0,19.76,z_0
257.0,389.0,19.59,z_15
98.0,366.0,19.5,z_15
374.0,392.0,19.3,z_15
102.0,186.0,19.21,z_15
202.0,502.0,18.87,z_9
53.0,300.0,18.63,z_15
313.0,49.0,18.63,z_15
109.0,63.0,18.05,z_13
13.0,461.0,18.04,z_12
143.0,275.0,17.68,z_14
77.0,421.0,17.53,z_15
25.0,395.0,16.87,z_15
348.0,252.0,16.59,z_15
93.0,423.0,16.34,z_15
134.0,235.0,16.3,z_1
153.0,378.0,16.27,z_11
68.0,302.0,15.87,z_12
90.0,207.0,15.87,z_13
272.0,323.0,15.49,z_8
309.0,304.0,15.49,z_9
153.0,498.0,15.38,z_0
93.0,324.0,15.23,z_15
326.0,461.0,15.02,z_14
115.0,152.0,15.02,z_0
69.0,145.0,15.02,z_8
120.0,460.0,14.73,z_0
167.0,334.0,14.37,z_2
280.0,409.0,14.21,z_0
40.0,170.0,14.17,z_0
8.0,437.0,14.06,z_0
143.0,453.0,13.65,z_9
80.0,434.0,13.6,z_0
144.0,359.0,13.6,z_0
476.0,374.0,13.51,z_1
6.0,294.0,13.51,z_1
496.0,223.0,13.18,z_1
507.0,291.0,12.81,z_9
440.0,225.0,11.79,z_0
410.0,243.0,11.22,z_11
281.0,225.0,11.22,z_4
120.0,23.0,10.62,z_6
231.0,219.0,10.62,z_6
89.0,409.0,9.32,z_5
242.0,205.0,8.84,z_6
41.0,199.0,8.59,z_8
473.0,250.0,7.92,z_3
17.0,17.0,7.66,z_11
409.0,4.0,7.66,z_8
367.0,505.0,7.51,z_5
