x,y,diameter,occupancy
113.0,248.0,30.26,0
276.0,201.0,35.84,0
185.0,42.0,31.29,0
205.0,47.0,36.67,0
178.0,202.0,36.59,0
275.0,223.0,32.94,0
211.0,10.0,31.09,0
132.0,258.0,40.55,0
291.0,148.0,36.55,0
277.0,87.0,35.36,0
112.0,122.0,40.85,0
214.0,240.0,39.56,0
73.0,186.0,35.84,0
276.0,130.0,33.94,0
34.0,169.0,33.61,0
225.0,136.0,31.92,0
172.0,181.0,31.45,0
129.0,50.0,31.29,0
11.0,208.0,37.64,0
125.0,69.0,31.63,0
98.0,59.0,31.92,0
40.0,98.0,38.85,0
162.0,65.0,57.21,0
147.0,18.0,44.16,0
228.0,64.0,43.95,0
305.0,172.0,45.44,0
292.0,71.0,40.05,0
164.0,37.0,41.47,0
117.0,94.0,38.66,0
16.0,79.0,46.82,0
140.0,85.0,39.39,0
264.0,46.0,38.58,0
62.0,146.0,36.77,0
95.0,102.0,38.71,0
60.0,20.0,37.66,0
274.0,109.0,36.1,0
313.0,134.0,34.3,0
157.0,108.0,43.27,0
245.0,51.0,28.94,0
167.0,142.0,36.1,0
187.0,139.0,32.31,0
100.0,81.0,29.97,0
136.0,132.0,36.12,0
89.0,41.0,31.14,0
84.0,72.0,29.87,0
183.0,245.0,35.92,0
239.0,19.0,33.05,0
163.0,245.0,30.33,0
216.0,157.0,46.42,0
256.0,247.0,33.61,0
101.0,187.0,33.22,0
309.0,27.0,27.09,0
28.0,115.0,30.76,0
192.0,264.0,33.74,0
88.0,158.0,32.19,0
200.0,27.0,31.06,0
240.0,104.0,28.58,0
279.0,32.0,30.33,0
224.0,112.0,31.09,0
308.0,231.0,35.75,0
163.0,163.0,33.41,0
169.0,89.0,32.41,0
121.0,32.0,31.75,0
224.0,92.0,34.91,0
237.0,296.0,42.64,0
293.0,20.0,30.51,0
15.0,254.0,27.16,0
245.0,144.0,35.17,0
48.0,214.0,34.02,0
260.0,96.0,29.13,0
231.0,38.0,32.94,0
179.0,111.0,30.15,0
75.0,108.0,32.14,0
133.0,183.0,29.55,0
307.0,56.0,30.77,0
301.0,250.0,32.94,0
61.0,256.0,30.05,0
352.0,454.0,40.24,0
424.0,288.0,48.64,0
267.0,145.0,23.75,0
89.0,236.0,24.3,0
255.0,314.0,24.77,0
200.0,283.0,23.8,0
297.0,267.0,24.59,0
172.0,126.0,51.45,0
97.0,249.0,24.0,0
278.0,304.0,26.44,0
324.0,106.0,30.76,0
203.0,72.0,24.76,0
286.0,290.0,27.76,0
66.0,133.0,34.92,0
485.0,331.0,40.48,0
176.0,51.0,31.89,0
317.0,498.0,46.28,0
75.0,169.0,41.34,0
131.0,21.0,40.45,0
139.0,58.0,33.91,0
180.0,76.0,32.75,0
122.0,140.0,36.44,0
218.0,26.0,25.82,0
131.0,100.0,31.53,0
40.0,120.0,35.96,0
301.0,7.0,25.25,0
214.0,222.0,25.6,0
297.0,299.0,24.0,0
442.0,407.0,32.94,0
260.0,136.0,49.52,0
52.0,167.0,26.03,0
184.0,296.0,26.07,0
254.0,12.0,24.3,0
126.0,235.0,26.17,0
12.0,56.0,24.45,0
188.0,216.0,23.57,0
136.0,218.0,27.17,0
292.0,222.0,24.05,0
118.0,197.0,26.72,0
88.0,175.0,24.41,0
137.0,35.0,23.53,0
56.0,87.0,25.74,0
301.0,281.0,24.49,0
460.0,494.0,25.35,0
60.0,232.0,31.16,0
46.0,195.0,26.44,0
18.0,293.0,28.69,0
17.0,29.0,24.59,0
258.0,156.0,26.68,0
412.0,490.0,25.69,0
187.0,86.0,25.28,0
157.0,199.0,23.29,0
239.0,246.0,24.66,0
208.0,138.0,24.82,0
119.0,299.0,29.61,0
496.0,342.0,23.03,0
389.0,333.0,18.63,0
324.0,263.0,13.98,0
400.0,484.0,20.91,0
433.0,435.0,21.08,0
431.0,47.0,14.27,0
471.0,111.0,15.87,0
333.0,39.0,13.75,0
397.0,221.0,26.44,0
399.0,497.0,21.78,0
412.0,210.0,22.59,0
289.0,470.0,19.01,0
