Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
364,178.0,152.0,0.0,24.49,1.26,27.17,-2.68,137.35,394.97,0.875,26.86,0.522,z15
365,148.0,73.0,0.0,32.34,1.38,35.72,-3.38,126.33,729.17,0.893,34.93,0.516,z14
366,303.0,123.0,0.0,29.64,1.77,31.29,-1.65,130.06,592.45,0.871,32.56,0.571,z15
367,227.0,309.0,0.0,35.95,1.84,38.02,-2.07,123.34,828.99,0.84,38.73,0.552,z14
368,264.0,281.0,1.0,34.34,1.79,37.01,-2.67,123.71,822.48,0.879,37.25,0.621,z15
369,139.0,233.0,1.0,36.57,1.91,39.53,-2.96,122.22,946.18,0.918,39.42,0.632,z13
370,120.0,103.0,0.0,26.93,1.43,28.63,-1.7,133.62,470.92,0.871,29.79,0.5,z15
371,205.0,296.0,0.0,44.34,2.06,45.74,-1.4,118.19,1273.87,0.825,46.3,0.585,z14
372,250.0,54.0,1.0,31.32,1.98,33.04,-1.72,127.38,670.57,0.871,34.2,0.65,z14
373,67.0,105.0,0.0,26.44,1.58,31.25,-4.81,132.23,481.77,0.918,29.26,0.52,z15
374,32.0,104.0,0.0,28.63,1.79,30.33,-1.7,124.84,570.75,0.885,31.37,0.643,z15
375,91.0,79.0,0.0,40.63,1.44,42.22,-1.59,120.95,1154.51,0.862,43.32,0.551,z12
376,289.0,142.0,0.0,39.68,1.62,40.49,-0.81,121.4,1085.07,0.889,42.37,0.514,z13
377,287.0,162.0,1.0,39.19,1.84,40.7,-1.51,121.4,1080.73,0.885,41.99,0.608,z13
378,52.0,116.0,1.0,47.51,1.86,48.77,-1.26,114.6,1451.82,0.799,49.9,0.6,z15
380,145.0,279.0,0.0,37.83,1.44,39.92,-2.09,122.94,902.78,0.876,40.7,0.529,z15
381,158.0,48.0,0.0,34.04,0.92,36.76,-2.72,124.68,731.34,0.807,35.84,0.5,z15
382,299.0,56.0,1.0,31.97,1.69,34.46,-2.49,127.79,666.23,0.897,34.79,0.464,z15
383,49.0,236.0,1.0,55.15,2.22,55.41,-0.26,110.97,1946.61,0.818,57.93,0.587,z15
384,138.0,123.0,0.0,39.51,1.28,40.35,-0.84,119.65,983.07,0.812,41.94,0.458,z15
385,286.0,45.0,0.0,34.91,1.53,36.52,-1.61,125.9,831.16,0.861,37.7,0.574,z14
386,290.0,184.0,0.0,47.1,0.9,50.42,-3.32,117.6,1525.61,0.859,48.9,1.0,z11
387,202.0,35.0,1.0,29.81,1.54,32.94,-3.13,128.33,564.24,0.885,32.68,0.547,z15
388,306.0,156.0,0.0,37.7,1.8,39.75,-2.05,123.91,978.73,0.902,40.57,0.507,z15
389,252.0,105.0,0.0,52.17,1.87,52.17,0.0,114.64,1883.68,0.879,54.19,0.691,z11
390,110.0,33.0,1.0,57.24,2.0,57.93,-0.69,113.79,2248.26,0.848,60.09,0.694,z15
391,292.0,74.0,0.0,46.64,1.62,46.9,-0.26,117.2,1503.91,0.836,49.14,0.62,z15
392,254.0,127.0,0.0,37.3,1.72,40.24,-2.94,123.44,985.24,0.9,40.05,0.556,z15
393,90.0,163.0,0.0,44.87,1.79,46.82,-1.95,115.8,1408.42,0.868,47.58,0.709,z14
394,213.0,50.0,0.0,43.44,1.99,44.99,-1.55,118.09,1289.06,0.849,46.34,0.598,z12
395,290.0,206.0,1.0,41.62,1.77,43.08,-1.46,118.91,1200.09,0.913,44.31,0.792,z14
396,110.0,189.0,1.0,53.29,1.77,55.0,-1.71,114.55,2031.25,0.883,55.97,0.569,z15
397,29.0,124.0,1.0,48.21,1.79,50.48,-2.27,112.59,1592.88,0.825,51.08,0.585,z14
398,178.0,135.0,0.0,43.38,2.3,44.73,-1.35,117.73,1317.27,0.906,46.15,0.7,z15
399,273.0,221.0,0.0,46.82,1.74,49.06,-2.24,117.24,1514.76,0.867,49.7,0.663,z10
400,111.0,166.0,0.0,36.75,1.73,38.54,-1.79,121.25,904.95,0.897,39.45,0.618,z15
401,226.0,65.0,1.0,33.35,1.54,35.84,-2.49,126.25,755.21,0.882,36.12,0.613,z15
402,230.0,151.0,1.0,50.7,1.35,54.11,-3.41,116.76,1831.6,0.92,52.82,0.576,z13
403,31.0,172.0,0.0,36.45,1.68,39.01,-2.56,118.51,946.18,0.891,39.31,0.614,z15
404,80.0,50.0,0.0,33.48,1.68,36.67,-3.19,125.0,785.59,0.887,36.34,0.578,z15
405,39.0,213.0,1.0,48.26,1.93,50.45,-2.19,111.88,1647.14,0.859,51.08,0.629,z13
406,250.0,216.0,1.0,36.51,1.66,38.9,-2.39,120.74,933.16,0.905,38.75,0.647,z14
407,262.0,254.0,0.0,44.96,0.58,46.82,-1.86,116.44,1412.76,0.892,46.12,0.719,z15
408,217.0,88.0,0.0,31.95,1.2,35.46,-3.51,128.49,707.47,0.897,34.36,0.559,z15
409,116.0,10.0,1.0,37.76,1.81,39.92,-2.16,123.16,993.92,0.897,40.65,0.6,z15
410,170.0,85.0,0.0,44.95,2.15,46.84,-1.89,116.5,1467.01,0.868,47.85,0.705,z15
411,211.0,106.0,1.0,45.74,2.17,50.1,-4.36,117.52,1460.5,0.9,48.59,0.702,z12
412,196.0,123.0,1.0,43.01,1.65,43.54,-0.53,118.02,1265.19,0.893,45.35,0.605,z13
413,212.0,176.0,0.0,77.73,1.68,77.96,-0.23,109.97,4307.73,0.827,80.22,0.426,z10
414,75.0,13.0,0.0,46.39,2.03,46.63,-0.24,116.79,1516.93,0.904,49.29,0.628,z13
415,219.0,23.0,0.0,49.04,1.95,49.7,-0.66,116.54,1584.2,0.858,51.6,0.633,z12
416,213.0,139.0,0.0,34.93,1.73,37.29,-2.36,124.37,835.5,0.922,37.55,0.548,z15
417,64.0,87.0,0.0,44.41,2.13,45.3,-0.89,117.13,1352.0,0.875,47.33,0.622,z12
418,126.0,87.0,0.0,39.29,1.79,41.87,-2.58,121.83,1080.73,0.885,42.08,0.608,z15
419,132.0,44.0,0.0,40.64,1.61,42.18,-1.54,120.23,1130.64,0.884,42.97,0.526,z14
420,176.0,257.0,0.0,41.1,1.64,42.03,-0.93,117.12,1193.58,0.891,43.39,0.577,z15
421,86.0,32.0,0.0,40.04,1.39,41.79,-1.75,121.36,1128.47,0.899,42.37,0.539,z15
422,243.0,182.0,1.0,55.7,1.59,57.27,-1.57,114.44,2178.82,0.829,58.23,0.583,z14
423,156.0,104.0,1.0,45.1,1.84,47.27,-2.17,116.54,1453.99,0.912,47.53,0.616,z15
424,82.0,97.0,1.0,37.56,1.68,40.71,-3.15,121.14,993.92,0.897,40.45,0.529,z15
425,184.0,188.0,1.0,40.54,1.85,42.03,-1.49,119.45,1156.68,0.904,42.99,0.711,z15
426,89.0,183.0,0.0,32.94,1.37,35.16,-2.22,125.03,753.04,0.871,35.05,0.547,z15
427,180.0,107.0,0.0,50.27,1.89,51.24,-0.97,114.5,1816.41,0.906,52.84,0.681,z13
428,246.0,37.0,1.0,35.12,1.52,36.49,-1.37,125.84,874.57,0.906,37.82,0.618,z13
429,195.0,150.0,1.41,46.86,1.97,50.26,-3.4,118.85,1497.4,0.878,49.74,0.624,z15
430,177.0,169.0,0.0,39.53,1.77,41.19,-1.66,120.72,1085.07,0.925,41.62,0.689,z15
431,50.0,263.0,0.0,44.72,2.36,45.22,-0.5,113.52,1384.55,0.86,47.63,0.75,z12
432,242.0,260.0,0.0,40.35,1.13,41.93,-1.58,118.93,1113.28,0.87,42.18,0.804,z13
433,169.0,20.0,0.0,33.69,1.79,34.49,-0.8,123.8,794.27,0.897,36.52,0.578,z13
434,159.0,126.0,0.0,41.96,1.75,43.97,-2.01,119.33,1263.02,0.918,44.73,0.588,z15
435,113.0,138.0,0.0,42.26,1.69,43.77,-1.51,117.73,1174.05,0.838,44.89,0.525,z15
436,64.0,184.0,0.0,28.33,1.75,31.05,-2.72,130.63,540.36,0.906,31.15,0.538,z15
437,273.0,126.0,1.0,39.45,1.32,40.62,-1.17,122.52,1039.5,0.868,41.51,0.575,z15
438,111.0,74.0,1.0,34.72,1.56,36.93,-2.21,125.11,846.35,0.896,37.33,0.544,z15
439,96.0,15.0,0.0,37.15,1.68,39.17,-2.02,124.07,935.33,0.888,40.07,0.522,z14
440,163.0,65.0,1.41,33.86,1.26,35.84,-1.98,126.33,774.74,0.855,36.34,0.469,z15
441,19.0,186.0,0.0,32.94,1.56,36.57,-3.63,120.38,768.23,0.909,35.61,0.609,z15
442,13.0,90.0,0.0,33.21,1.42,36.1,-2.89,121.62,774.74,0.896,35.88,0.578,z14
443,310.0,102.0,0.0,28.51,1.55,30.13,-1.62,127.97,557.73,0.914,31.0,0.607,z15
444,190.0,49.0,1.0,38.95,1.53,40.78,-1.83,123.38,1026.48,0.858,41.84,0.581,z13
445,315.0,48.0,0.0,32.34,1.52,35.6,-3.26,126.98,720.49,0.882,34.92,0.548,z14
446,63.0,203.0,1.0,48.22,2.19,49.38,-1.16,113.69,1597.22,0.865,50.66,0.656,z15
447,243.0,282.0,0.0,48.6,1.47,49.17,-0.57,116.71,1547.31,0.852,49.84,0.602,z14
448,117.0,212.0,0.0,44.97,1.43,46.29,-1.32,117.01,1419.27,0.912,47.01,0.548,z15
449,227.0,218.0,0.0,30.61,1.57,34.28,-3.67,126.76,655.38,0.905,33.35,0.603,z15
450,262.0,43.0,0.0,29.02,1.67,31.36,-2.34,131.41,555.56,0.885,31.73,0.536,z14
451,113.0,275.0,1.0,43.11,1.66,44.89,-1.78,117.67,1286.89,0.863,45.69,0.549,z13
452,295.0,102.0,1.41,31.37,1.75,33.59,-2.22,126.71,672.74,0.853,33.83,0.5,z15
453,230.0,100.0,1.0,36.04,1.84,38.42,-2.38,122.83,896.27,0.889,38.62,0.529,z14
454,162.0,183.0,0.0,44.16,1.69,45.79,-1.63,117.71,1380.21,0.887,46.84,0.631,z13
