Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity,Ring_Width_μm,Dark_Edge_Diameter_μm,Dark_Ratio
89,122.00,313.00,43.80,119.91,1295.57,0.891,5.46,53.12,0.391
90,310.00,350.00,43.72,121.87,1250.00,0.784,5.99,54.69,0.393
91,174.00,354.00,37.22,123.56,954.86,0.873,5.24,46.63,0.398
92,293.00,467.00,44.07,119.60,1384.55,0.912,5.70,54.42,0.364
93,237.00,399.00,40.26,122.98,1128.47,0.899,5.80,50.86,0.407
94,132.00,495.00,58.44,113.27,2450.09,0.895,5.83,67.87,0.316
95,172.00,422.00,43.80,120.01,1258.68,0.829,4.83,51.79,0.367
96,238.00,491.00,40.27,120.52,1134.98,0.887,4.99,48.81,0.343
97,84.00,376.00,48.26,116.14,1679.69,0.890,6.13,59.15,0.350
98,45.00,461.00,38.35,117.94,1050.35,0.895,4.71,46.95,0.481
99,204.00,367.00,53.37,115.21,1942.27,0.850,5.68,63.85,0.538
100,243.00,432.00,33.35,127.62,759.55,0.887,6.19,44.65,0.403
101,101.00,465.00,37.30,122.56,976.56,0.919,5.81,47.70,0.399
102,263.00,348.00,42.18,120.82,1263.02,0.885,6.08,53.12,0.379
103,40.00,330.00,42.32,118.02,1210.94,0.871,5.30,51.45,0.355
104,259.00,484.00,45.53,118.46,1469.18,0.855,5.61,56.30,0.358
105,67.00,396.00,40.11,116.84,1108.94,0.891,4.46,46.28,0.301
106,19.00,336.00,41.29,115.08,1215.28,0.907,5.60,51.75,0.316
107,262.00,316.00,36.38,126.77,894.10,0.878,5.72,46.90,0.376
108,186.00,382.00,37.56,123.92,974.39,0.898,4.51,45.48,0.349
109,84.00,458.00,32.04,125.26,694.44,0.880,6.58,43.28,0.354
110,196.00,330.00,24.30,138.23,399.31,0.927,5.77,35.84,0.741
111,129.00,393.00,31.79,129.36,692.27,0.899,5.25,41.94,0.382
112,207.00,458.00,57.47,115.34,2280.82,0.812,5.94,67.34,0.352
113,282.00,494.00,31.77,127.78,692.27,0.899,5.26,41.67,0.368
114,187.00,400.00,25.17,137.20,438.37,0.929,5.33,35.42,0.401
115,80.00,347.00,28.84,126.09,551.22,0.832,5.81,39.80,0.402
116,314.00,478.00,33.10,123.53,729.17,0.893,4.16,40.65,0.310
117,294.00,418.00,30.85,128.92,603.30,0.864,5.33,41.25,0.367
118,261.00,367.00,33.28,125.97,761.72,0.881,5.87,44.59,0.394
119,228.00,427.00,24.30,136.81,394.97,0.917,5.77,35.84,0.433
120,206.00,423.00,24.57,137.46,397.14,0.909,5.10,34.30,0.443
121,376.00,369.00,25.69,117.46,455.73,0.869,4.79,34.67,0.400
122,191.00,426.00,31.92,127.56,642.36,0.855,5.05,41.67,0.320
123,27.00,472.00,38.98,117.07,1030.82,0.886,6.03,50.05,0.448
124,188.00,444.00,37.19,124.90,922.31,0.850,5.15,46.82,0.377
125,156.00,497.00,37.34,125.06,959.20,0.903,4.55,45.20,0.332
126,197.00,411.00,28.90,131.56,577.26,0.871,4.79,38.49,0.374
127,278.00,361.00,33.73,127.50,748.70,0.895,5.74,43.99,0.391
128,204.00,393.00,49.41,116.55,1566.84,0.787,5.17,59.75,0.625
129,253.00,465.00,33.71,127.30,761.72,0.852,5.62,44.19,0.385
130,154.00,373.00,28.20,133.82,531.68,0.906,5.36,38.25,0.403
131,203.00,437.00,28.98,134.27,562.07,0.906,5.04,38.81,0.419
132,278.00,478.00,31.67,128.71,703.12,0.891,5.49,42.23,0.373
133,224.00,363.00,28.34,130.16,551.22,0.864,5.51,38.68,0.437
134,339.00,192.00,34.93,127.88,859.38,0.898,5.91,45.71,0.367
135,233.00,464.00,46.82,119.71,1388.89,0.777,5.85,57.21,0.349
136,41.00,418.00,32.61,126.32,729.17,0.893,5.98,43.95,0.396
137,84.00,474.00,44.97,114.93,922.31,0.753,5.35,54.90,0.480
138,118.00,475.00,38.29,123.92,967.88,0.849,5.05,47.56,0.371
139,299.00,487.00,34.67,125.57,822.48,0.908,5.95,45.24,0.350
140,243.00,448.00,28.90,130.77,585.94,0.884,5.69,40.02,0.425
141,17.00,361.00,35.36,120.57,813.80,0.859,5.24,44.19,0.363
142,300.00,389.00,32.40,127.44,709.64,0.890,5.23,42.44,0.352
143,302.00,405.00,25.69,135.46,438.37,0.872,5.67,36.86,0.392
144,366.00,235.00,28.05,129.81,525.17,0.906,5.79,38.75,0.435
145,473.00,424.00,34.49,128.73,815.97,0.922,4.95,44.38,0.340
146,396.00,57.00,23.75,138.15,379.77,0.831,4.86,33.48,0.409
147,386.00,252.00,25.70,117.41,416.67,0.866,6.15,36.44,0.463
148,431.00,269.00,27.36,131.97,496.96,0.920,5.23,37.42,0.465
149,362.00,394.00,27.66,135.16,512.15,0.883,5.64,38.55,0.388
150,226.00,66.00,36.86,128.19,913.63,0.906,4.94,75.29,0.703
151,483.00,233.00,23.29,126.63,368.92,0.873,6.09,34.35,0.481
152,365.00,216.00,25.43,135.81,392.80,0.843,5.86,35.78,0.445
153,328.00,338.00,37.29,124.36,939.67,0.866,5.27,47.28,0.424
154,431.00,375.00,41.42,121.67,1210.94,0.880,5.76,52.25,0.381
155,418.00,412.00,44.24,120.56,1286.89,0.786,5.62,55.16,0.298
156,456.00,430.00,36.08,124.67,891.93,0.884,6.25,47.43,0.406
157,384.00,204.00,25.28,134.53,416.67,0.924,4.84,34.96,0.392
158,322.00,366.00,35.88,123.50,865.89,0.858,5.60,46.60,0.355
159,451.00,386.00,44.73,120.87,1310.76,0.864,5.48,54.38,0.380
160,372.00,474.00,37.99,123.31,980.90,0.860,5.73,48.94,0.388
161,351.00,314.00,45.53,112.64,1341.15,0.794,4.93,55.37,0.281
162,371.00,407.00,30.11,129.64,609.81,0.896,5.13,39.39,0.342
163,478.00,86.00,26.72,137.55,455.73,0.907,5.73,37.29,0.439
164,483.00,136.00,29.02,132.67,568.58,0.906,5.22,39.14,0.362
165,450.00,106.00,35.52,126.56,815.97,0.853,5.66,45.77,0.404
166,441.00,284.00,40.68,122.16,1126.30,0.804,5.06,50.27,0.383
167,473.00,283.00,28.05,134.97,546.88,0.906,4.73,37.46,0.374
168,366.00,42.00,45.44,122.33,1421.44,0.898,5.18,94.58,0.653
169,408.00,200.00,24.09,135.91,366.75,0.898,5.75,34.49,0.451
170,496.00,37.00,29.01,135.03,546.88,0.892,5.04,38.25,0.351
171,339.00,169.00,30.77,128.46,620.66,0.827,4.65,40.07,0.412
172,417.00,333.00,29.18,132.89,577.26,0.905,4.62,37.82,0.346
