Center_X_px,Center_Y_px,Diameter_μm,slide
469.0,205.0,26.44,z13
207.0,335.0,26.37,z15
94.0,131.0,26.1,z15
480.0,364.0,26.04,z15
453.0,78.0,25.97,z15
365.0,449.0,25.7,z15
38.0,131.0,25.59,z15
267.0,286.0,25.58,z00
363.0,153.0,25.58,z15
257.0,95.0,25.58,z15
320.0,265.0,25.47,z07
320.0,65.0,25.45,z15
244.0,476.0,25.44,z15
408.0,168.0,25.43,z15
410.0,499.0,25.28,z13
444.0,59.0,25.17,z15
92.0,434.0,25.17,z13
378.0,147.0,25.13,z13
132.0,118.0,24.85,z15
463.0,40.0,24.62,z15
221.0,396.0,24.57,z15
143.0,89.0,24.54,z15
313.0,399.0,24.49,z15
88.0,165.0,24.42,z00
223.0,178.0,24.4,z15
351.0,262.0,24.4,z13
184.0,412.0,24.4,z15
377.0,336.0,24.39,z15
185.0,346.0,24.39,z00
427.0,15.0,24.3,z01
376.0,256.0,24.3,z01
68.0,193.0,24.26,z15
106.0,55.0,24.16,z15
68.0,204.0,24.14,z15
487.0,315.0,24.08,z15
169.0,312.0,23.94,z15
187.0,491.0,23.8,z15
459.0,88.0,23.75,z15
185.0,49.0,23.75,z07
421.0,162.0,23.75,z15
368.0,60.0,23.75,z15
501.0,250.0,23.57,z15
468.0,477.0,23.52,z15
130.0,451.0,23.29,z12
58.0,283.0,22.93,z15
397.0,401.0,22.81,z13
154.0,77.0,22.7,z15
79.0,136.0,22.63,z15
460.0,165.0,22.63,z13
106.0,102.0,22.59,z15
179.0,302.0,22.55,z15
6.0,117.0,22.44,z11
343.0,422.0,22.12,z15
347.0,159.0,21.82,z02
285.0,454.0,21.78,z15
163.0,364.0,21.78,z13
172.0,369.0,21.77,z13
387.0,234.0,21.77,z15
201.0,177.0,21.64,z00
33.0,26.0,21.54,z15
52.0,228.0,21.45,z15
275.0,22.0,21.45,z15
397.0,114.0,21.45,z15
168.0,238.0,21.45,z15
290.0,272.0,21.45,z15
36.0,186.0,21.28,z15
425.0,361.0,21.0,z15
282.0,348.0,21.0,z15
106.0,151.0,21.0,z15
501.0,353.0,20.86,z15
365.0,5.0,20.83,z09
359.0,473.0,20.64,z15
366.0,115.0,20.64,z15
386.0,470.0,20.6,z13
301.0,339.0,20.52,z15
105.0,124.0,19.98,z15
6.0,68.0,19.98,z01
238.0,420.0,19.84,z15
448.0,120.0,19.84,z09
388.0,431.0,19.76,z15
480.0,292.0,19.71,z15
483.0,124.0,19.65,z12
172.0,61.0,19.65,z11
104.0,433.0,19.26,z15
277.0,164.0,19.26,z11
331.0,6.0,19.21,z13
504.0,155.0,19.21,z13
443.0,320.0,19.21,z11
52.0,46.0,18.96,z09
5.0,104.0,18.73,z00
387.0,460.0,18.63,z15
455.0,443.0,18.63,z12
251.0,319.0,18.63,z15
69.0,68.0,18.28,z07
50.0,190.0,18.02,z15
378.0,62.0,17.92,z13
444.0,399.0,17.31,z13
113.0,37.0,17.29,z13
137.0,318.0,17.15,z02
288.0,484.0,17.0,z15
309.0,189.0,16.87,z08
354.0,240.0,16.83,z12
253.0,298.0,16.8,z09
