Center_X_px,Center_Y_px,Diameter_μm,slide
195.0,149.0,30.46,z13
488.0,49.0,30.37,z13
230.0,266.0,30.37,z13
469.0,468.0,30.0,z10
270.0,245.0,29.92,z13
110.0,361.0,29.75,z13
175.0,109.0,29.72,z13
339.0,269.0,29.66,z13
467.0,44.0,29.66,z13
90.0,390.0,29.54,z13
242.0,108.0,29.54,z13
425.0,353.0,29.54,z12
411.0,191.0,29.4,z13
39.0,260.0,29.28,z13
496.0,285.0,29.28,z13
230.0,252.0,29.15,z13
387.0,167.0,28.96,z12
83.0,68.0,28.96,z13
90.0,408.0,28.91,z13
196.0,182.0,28.9,z04
33.0,345.0,28.82,z13
471.0,250.0,28.82,z13
451.0,16.0,28.62,z13
101.0,240.0,28.42,z12
231.0,293.0,28.38,z13
255.0,280.0,28.28,z13
182.0,75.0,28.24,z12
7.0,370.0,28.23,z13
92.0,53.0,28.23,z13
303.0,35.0,28.23,z12
277.0,85.0,28.15,z13
481.0,20.0,27.71,z13
271.0,160.0,27.61,z13
347.0,138.0,27.52,z13
399.0,135.0,27.41,z13
399.0,162.0,27.25,z13
279.0,336.0,27.25,z12
419.0,6.0,27.25,z07
236.0,414.0,27.1,z13
30.0,358.0,27.1,z13
114.0,177.0,26.91,z11
178.0,61.0,26.88,z13
332.0,256.0,26.86,z13
433.0,113.0,26.69,z13
341.0,352.0,26.69,z13
153.0,253.0,26.64,z13
237.0,241.0,26.39,z11
435.0,100.0,26.39,z12
285.0,214.0,26.15,z13
449.0,145.0,25.66,z12
308.0,95.0,25.64,z13
304.0,108.0,25.58,z13
234.0,326.0,25.46,z13
137.0,20.0,25.46,z13
423.0,105.0,25.46,z13
498.0,120.0,25.33,z13
499.0,261.0,25.3,z13
494.0,218.0,25.27,z05
52.0,276.0,25.2,z11
99.0,476.0,25.16,z13
236.0,178.0,24.89,z13
150.0,177.0,24.84,z13
150.0,336.0,24.64,z13
316.0,21.0,24.55,z13
504.0,277.0,24.43,z13
500.0,53.0,24.37,z13
164.0,181.0,24.26,z12
394.0,59.0,24.06,z11
51.0,288.0,24.06,z13
144.0,11.0,24.06,z12
