Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
205,364.0,339.0,0.0,51.06,2.97,52.66,-1.6,110.23,1757.8,0.847,55.95,0.383,z12
206,331.0,331.0,0.0,45.38,2.61,48.69,-3.31,113.9,1476.66,0.893,50.17,0.345,z12
207,494.0,378.0,0.0,45.65,2.52,48.15,-2.5,114.9,1465.74,0.911,50.0,0.307,z13
208,449.0,454.0,0.0,61.56,1.64,62.36,-0.8,105.63,2745.87,0.88,64.03,0.331,z13
210,321.0,234.0,0.0,28.23,2.49,30.93,-2.7,127.85,562.28,0.947,33.21,0.281,z13
211,485.0,293.0,0.0,27.94,2.63,30.7,-2.76,130.84,529.52,0.892,33.21,0.29,z13
212,381.0,128.0,0.0,31.35,2.83,33.94,-2.59,125.18,671.46,0.921,36.5,0.31,z13
213,336.0,164.0,0.0,63.56,2.45,64.52,-0.96,104.24,2549.35,0.779,68.23,0.305,z11
214,408.0,323.0,0.0,50.17,3.21,52.73,-2.56,111.09,1637.7,0.837,55.59,0.333,z12
215,484.0,256.0,0.0,32.82,2.8,35.24,-2.42,123.35,709.67,0.885,38.07,0.361,z13
216,474.0,236.0,0.0,27.71,2.75,30.54,-2.83,130.46,524.06,0.883,33.21,0.29,z13
217,476.0,327.0,1.0,38.83,2.78,42.85,-4.02,120.18,1072.69,0.883,44.08,0.318,z13
218,451.0,15.0,1.0,27.04,3.11,28.62,-1.58,130.95,488.58,0.89,33.21,0.333,z13
219,495.0,246.0,0.0,31.03,3.01,33.68,-2.65,125.17,644.16,0.883,36.5,0.306,z13
220,374.0,70.0,0.0,34.58,3.0,37.54,-2.96,120.71,829.77,0.879,40.2,0.372,z13
221,350.0,384.0,0.0,39.83,2.63,42.48,-2.65,116.06,1110.9,0.876,44.08,0.376,z13
222,494.0,304.0,0.0,29.44,2.81,30.91,-1.47,126.81,575.92,0.9,35.05,0.352,z13
223,472.0,198.0,0.0,47.82,3.04,49.94,-2.12,110.03,1501.22,0.836,52.58,0.339,z13
224,314.0,426.0,1.0,46.23,2.14,48.36,-2.13,110.98,1528.52,0.907,50.44,0.388,z12
225,338.0,269.0,1.0,27.46,2.47,29.66,-2.2,127.69,502.23,0.885,32.01,0.333,z13
226,324.0,354.0,1.0,56.82,2.31,57.37,-0.55,107.71,2178.14,0.843,61.34,0.292,z13
227,494.0,321.0,0.0,43.1,2.94,46.09,-2.99,115.72,1301.97,0.89,48.62,0.294,z13
228,484.0,115.0,0.0,37.83,2.82,41.43,-3.6,118.5,1015.37,0.912,43.46,0.312,z13
229,317.0,114.0,0.0,38.68,2.51,41.0,-2.32,119.3,1037.21,0.932,43.17,0.284,z13
230,408.0,285.0,0.0,39.36,3.11,42.49,-3.13,118.28,1108.18,0.893,45.37,0.346,z13
231,395.0,246.0,0.0,44.1,2.65,45.56,-1.46,113.59,1351.1,0.897,48.79,0.337,z13
232,376.0,192.0,0.0,34.94,2.63,37.67,-2.73,123.01,867.98,0.919,40.2,0.333,z13
233,314.0,134.0,0.0,46.22,2.68,49.12,-2.9,113.94,1512.14,0.897,50.74,0.379,z13
234,367.0,229.0,0.0,46.21,2.27,48.27,-2.06,116.08,1509.41,0.913,50.74,0.315,z13
235,380.0,261.0,0.0,46.23,2.96,48.8,-2.57,112.95,1501.22,0.868,51.3,0.356,z13
236,406.0,208.0,1.0,44.33,3.19,46.96,-2.63,114.54,1424.8,0.902,50.55,0.342,z13
237,378.0,111.0,0.0,41.46,3.0,45.37,-3.91,116.56,1184.6,0.887,47.15,0.282,z13
238,481.0,78.0,0.0,40.51,3.21,43.88,-3.37,118.72,1173.68,0.879,46.92,0.311,z13
239,380.0,53.0,0.0,39.02,2.94,41.86,-2.84,119.71,1080.88,0.898,44.8,0.299,z13
240,494.0,150.0,1.0,45.02,2.78,46.7,-1.68,115.93,1402.96,0.914,50.18,0.266,z13
241,437.0,130.0,0.0,56.81,2.07,59.48,-2.67,110.8,2098.98,0.843,60.76,0.295,z13
242,443.0,70.0,0.0,38.36,2.67,41.82,-3.46,120.16,1034.48,0.908,43.64,0.282,z13
243,316.0,154.0,1.0,37.67,3.16,40.2,-2.53,119.91,977.16,0.878,43.64,0.345,z13
244,336.0,241.0,0.0,36.94,2.78,39.72,-2.78,119.39,911.65,0.887,41.91,0.284,z13
245,493.0,204.0,0.0,41.03,2.17,43.48,-2.45,118.76,1176.41,0.927,45.37,0.258,z13
246,465.0,152.0,0.0,46.56,1.91,49.48,-2.92,114.96,1422.07,0.807,50.38,0.279,z12
247,408.0,175.0,0.0,42.12,2.79,43.9,-1.78,115.98,1220.08,0.894,47.3,0.276,z12
248,498.0,169.0,0.0,36.94,3.23,40.51,-3.57,120.67,1009.91,0.907,43.4,0.323,z13
249,391.0,75.0,0.0,44.8,2.91,47.25,-2.45,114.16,1386.58,0.878,50.15,0.321,z12
250,362.0,51.0,0.0,36.85,2.49,39.81,-2.96,123.23,925.3,0.91,41.82,0.293,z13
251,366.0,16.0,1.0,45.81,3.27,48.12,-2.31,114.25,1495.76,0.912,51.88,0.369,z13
252,464.0,173.0,1.0,45.19,3.07,47.39,-2.2,114.34,1457.55,0.923,50.55,0.371,z13
253,465.0,26.0,0.0,46.96,3.06,49.99,-3.03,113.65,1585.84,0.9,52.97,0.345,z13
254,389.0,16.0,1.0,49.09,3.0,51.76,-2.67,112.9,1670.45,0.854,54.65,0.378,z13
255,414.0,127.0,0.0,45.02,3.09,47.29,-2.27,115.08,1424.8,0.902,50.41,0.361,z13
256,411.0,54.0,0.0,44.37,2.56,47.53,-3.16,116.55,1389.31,0.897,49.32,0.306,z12
257,431.0,85.0,0.0,40.47,2.6,42.97,-2.5,118.93,1143.66,0.901,45.36,0.292,z13
258,450.0,50.0,0.0,43.05,2.94,46.23,-3.18,117.36,1304.7,0.91,48.72,0.337,z13
259,428.0,255.0,1.0,30.24,2.34,33.45,-3.21,129.05,614.14,0.904,34.91,0.276,z13
260,437.0,240.0,1.0,42.21,2.94,44.33,-2.12,117.39,1241.92,0.884,47.52,0.363,z13
261,416.0,94.0,0.0,31.95,2.49,34.03,-2.08,127.04,696.02,0.858,36.94,0.338,z13
262,387.0,283.0,0.0,47.31,2.7,49.43,-2.12,111.87,1621.32,0.903,52.55,0.333,z13
263,315.0,217.0,0.0,47.12,3.04,49.68,-2.56,111.54,1558.54,0.884,52.58,0.437,z13
264,314.0,63.0,0.0,48.27,2.7,51.14,-2.87,112.72,1626.78,0.883,53.28,0.348,z13
265,372.0,161.0,1.0,39.38,2.64,41.12,-1.74,117.1,1089.07,0.897,44.67,0.31,z13
266,363.0,130.0,0.0,42.14,2.72,44.34,-2.2,116.52,1195.52,0.895,47.31,0.257,z12
267,480.0,181.0,0.0,34.87,3.24,36.57,-1.7,123.31,827.04,0.885,41.34,0.313,z12
268,475.0,59.0,0.0,39.93,2.84,42.38,-2.45,119.59,1124.55,0.906,45.25,0.327,z13
269,500.0,81.0,0.0,39.35,2.96,41.93,-2.58,119.33,1086.34,0.875,45.28,0.361,z13
270,497.0,99.0,0.0,40.88,3.09,43.79,-2.91,117.28,1146.39,0.884,46.39,0.291,z13
271,408.0,18.0,0.0,31.35,2.57,34.4,-3.05,125.92,682.37,0.936,36.5,0.29,z13
272,482.0,35.0,0.0,34.5,2.65,37.38,-2.88,124.96,818.85,0.932,39.79,0.274,z13
273,377.0,300.0,0.0,35.52,2.98,37.67,-2.15,121.53,854.33,0.882,41.34,0.376,z13
274,459.0,66.0,1.0,30.37,2.46,33.7,-3.33,131.21,622.33,0.904,35.3,0.303,z13
