Center_X_px,Center_Y_px,Diameter_μm,slide
496.0,489.0,34.63,z_14
337.0,409.0,34.57,z_15
249.0,491.0,34.51,z_15
414.0,321.0,34.49,z_15
241.0,104.0,34.43,z_15
329.0,394.0,34.33,z_15
292.0,409.0,34.24,z_15
286.0,290.0,34.24,z_15
46.0,194.0,34.2,z_15
291.0,99.0,34.2,z_15
63.0,203.0,34.19,z_15
481.0,343.0,34.17,z_15
91.0,120.0,34.17,z_15
352.0,437.0,34.12,z_15
345.0,121.0,34.1,z_15
469.0,333.0,34.02,z_15
453.0,409.0,34.02,z_15
120.0,220.0,33.97,z_15
20.0,194.0,33.93,z_14
354.0,135.0,33.93,z_15
31.0,186.0,33.92,z_15
139.0,58.0,33.91,z_0
63.0,121.0,33.86,z_15
164.0,444.0,33.85,z_15
393.0,103.0,33.72,z_15
262.0,382.0,33.69,z_15
262.0,25.0,33.65,z_15
449.0,199.0,33.61,z_2
408.0,456.0,33.61,z_15
256.0,289.0,33.59,z_15
441.0,43.0,33.59,z_15
416.0,414.0,33.41,z_15
363.0,466.0,33.35,z_15
135.0,218.0,33.35,z_15
315.0,288.0,33.33,z_15
141.0,489.0,33.21,z_15
122.0,481.0,33.21,z_15
372.0,141.0,33.2,z_15
385.0,478.0,33.16,z_15
485.0,207.0,33.16,z_15
218.0,25.0,33.07,z_15
31.0,132.0,33.03,z_15
176.0,51.0,33.01,z_1
137.0,113.0,33.01,z_15
118.0,196.0,33.01,z_15
26.0,223.0,32.98,z_15
249.0,34.0,32.98,z_15
310.0,26.0,32.97,z_14
431.0,229.0,32.97,z_15
107.0,43.0,32.94,z_14
210.0,122.0,32.94,z_14
354.0,232.0,32.94,z_15
430.0,316.0,32.94,z_15
223.0,325.0,32.94,z_15
147.0,47.0,32.94,z_15
275.0,61.0,32.94,z_15
56.0,44.0,32.81,z_15
180.0,76.0,32.75,z_0
255.0,112.0,32.7,z_15
117.0,179.0,32.61,z_15
98.0,441.0,32.58,z_14
77.0,323.0,32.57,z_15
497.0,124.0,32.49,z_15
355.0,268.0,32.48,z_15
346.0,366.0,32.36,z_15
168.0,460.0,32.34,z_15
56.0,87.0,32.34,z_15
154.0,129.0,32.26,z_15
461.0,493.0,32.21,z_15
412.0,490.0,32.15,z_15
67.0,75.0,32.05,z_15
127.0,235.0,32.05,z_15
81.0,89.0,32.05,z_15
258.0,156.0,32.01,z_15
448.0,228.0,31.98,z_15
19.0,374.0,31.95,z_11
389.0,274.0,31.95,z_15
280.0,456.0,31.9,z_15
76.0,302.0,31.88,z_3
455.0,363.0,31.87,z_15
475.0,221.0,31.87,z_15
131.0,101.0,31.87,z_1
